ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade
0,2024-08-01,916,Headset,Áudio,1946.97,5
1,2024-02-03,664,Teclado,Periféricos,3930.36,1
2,2024-04-10,863,Headset,Áudio,3713.01,1
3,2024-12-22,117,Monitor,Hardware,384.91,5
4,2024-10-11,763,Teclado,Periféricos,1678.27,4
5,2024-04-29,607,Monitor,Hardware,665.74,1
6,2024-04-29,907,Notebook,Hardware,584.06,5
7,2024-06-22,542,Monitor,Hardware,4018.18,2
8,2024-01-10,461,Mouse,Periféricos,4259.29,1
9,2024-10-03,503,Monitor,Hardware,868.92,3
10,2024-08-11,27,Mouse,Periféricos,4584.44,2
11,2024-12-09,776,Teclado,Periféricos,4156.85,2
12,2024-02-19,966,Mouse,Periféricos,1957.17,3
13,2024-06-28,834,Monitor,Hardware,2595.01,5
14,2024-04-30,308,Mouse,Periféricos,4252.78,1
15,2024-12-13,830,Teclado,Periféricos,4433.05,1
16,2024-09-30,710,Notebook,Hardware,3780.75,3
17,2024-11-16,634,Mouse,Periféricos,2164.28,1
18,2024-01-06,205,Mouse,Periféricos,1616.58,5
19,2024-11-16,55,Teclado,Periféricos,1945.77,2
20,2024-03-21,656,Mouse,Periféricos,3683.21,3
21,2024-06-15,140,Mouse,Periféricos,1585.52,4
22,2024-01-08,527,Monitor,Hardware,4703.54,5
23,2024-04-26,485,Teclado,Periféricos,2299.55,4
24,2024-07-01,186,Teclado,Periféricos,2821.83,2
25,2024-07-06,907,Notebook,Hardware,337.48,2
26,2024-02-06,251,Notebook,Hardware,2706.32,1
27,2024-01-25,554,Teclado,Periféricos,1772.73,2
28,2024-08-19,683,Monitor,Hardware,2796.2,4
29,2024-03-08,571,Mouse,Periféricos,1075.37,3
30,2024-08-02,354,Monitor,Hardware,2588.68,2
31,2024-05-27,669,Teclado,Periféricos,4478.29,1
32,2024-12-27,357,Notebook,Hardware,4337.61,5
33,2024-09-20,458,Headset,Áudio,2555.99,4
34,2024-06-02,532,Mouse,Periféricos,4551.32,2
35,2024-04-13,758,Teclado,Periféricos,485.43,5
36,2024-05-10,76,Headset,Áudio,3475.3,3
37,2024-06-25,914,Teclado,Periféricos,490.67,4
38,2024-05-24,780,Notebook,Hardware,2546.81,3
39,2024-06-19,46,Teclado,Periféricos,620.18,3
40,2024-06-07,619,Headset,Áudio,2120.68,3
41,2024-02-07,241,Mouse,Periféricos,2795.66,3
42,2024-02-05,687,Monitor,Hardware,4611.28,5
43,2024-05-03,645,Teclado,Periféricos,325.52,1
44,2024-03-05,653,Notebook,Hardware,2005.88,5
45,2024-11-14,626,Monitor,Hardware,3863.88,1
46,2024-07-04,960,Monitor,Hardware,941.27,4
47,2024-05-11,729,Monitor,Hardware,940.49,4
48,2024-06-02,251,Headset,Áudio,4805.34,2
49,2024-12-28,295,Mouse,Periféricos,1685.97,3
50,2024-04-10,230,Mouse,Periféricos,1233.24,5
